id,start,end,duration,en_text,hi_text,speaker,no_speech_prob,emotion,emotion_score,emotion_dist,emotion_source,arousal,valence
0,13.6,15.0,1.4,Tindus the,टिंडस द,SPEAKER_01,0.0,neutral,0.926,{'neutral': 0.926},text,0.0,0.0
1,15.0,16.861,1.92,the driver?,क्या?! ड्राइवर?!,SPEAKER_01,0.0,surprised,0.854,"{'surprised': 0.854, 'neutral': 0.094}",text,0.683,0.085
2,16.92,21.772000000000002,4.86,We can see the... at the right we can see the... the hat snarlers.,देखो!... दाईं तरफ देखो!... वो हैट स्नार्लर्स!,SPEAKER_01,0.0,angry,0.674,"{'angry': 0.674, 'neutral': 0.188, 'disgust': 0.088}",text,0.557,-0.457
3,21.96,24.427,2.48,Everything is safe. Perfectly safe.,सब ठीक है। बिल्कुल ठीक।,SPEAKER_01,0.0,neutral,0.896,"{'neutral': 0.896, 'happy': 0.068}",text,0.041,0.054
4,24.8,26.663,1.88,Emo? Emo?,"छी, इमो?! यह इमो है?!",SPEAKER_01,0.0,disgust,0.361,"{'angry': 0.157, 'neutral': 0.186, 'surprised': 0.06, 'disgust': 0.361, 'sad': 0.168}",audio+text,0.162,-0.422
5,28.32,29.262,0.96,Watch out!,बचो!,SPEAKER_01,0.0,neutral,0.322,"{'angry': 0.194, 'neutral': 0.322, 'happy': 0.275, 'surprised': 0.057, 'fearful': 0.148}",audio+text,0.469,0.035
6,46.18,47.479,1.3,Are you hurt?,कोई चोट तो नहीं लगी?,SPEAKER_00,0.0,sad,0.294,"{'angry': 0.065, 'neutral': 0.161, 'happy': 0.206, 'surprised': 0.178, 'sad': 0.294, 'fearful': 0.056}",audio+text,0.21,-0.09
7,51.46,53.776,2.34,I don't think so. You?,नहीं लगता। तुम?,SPEAKER_00,0.0,surprised,0.811,"{'surprised': 0.811, 'disgust': 0.063, 'neutral': 0.056, 'angry': 0.052}",text,0.703,0.012
8,55.2,56.266000000000005,1.08,I'm okay.,मैं ठीक हूँ।,SPEAKER_00,0.0,neutral,0.426,"{'angry': 0.277, 'neutral': 0.426, 'happy': 0.086, 'disgust': 0.059, 'sad': 0.067, 'fearful': 0.085}",audio+text,0.311,-0.222
9,56.28,58.06,4.64,Get up! Emo! It's not safe here.,"उठो! इमो! यहाँ खतरा है, चलो!",SPEAKER_02,0.0,sad,0.727,"{'sad': 0.727, 'surprised': 0.079, 'neutral': 0.072, 'angry': 0.055}",text,-0.256,-0.534
10,61.52,62.752,2.6,Let's go. What's next?,चलो। आगे क्या है?,SPEAKER_02,0.0,neutral,0.452,"{'angry': 0.207, 'neutral': 0.452, 'happy': 0.147, 'sad': 0.068, 'fearful': 0.063}",audio+text,0.264,-0.086
11,64.84,66.48100000000001,1.74,You'll... you'll see.,तुम... तुम देखोगे।,SPEAKER_02,0.0,neutral,0.836,"{'neutral': 0.836, 'happy': 0.054}",text,0.032,0.043
12,67.28,68.4,1.14,You'll see.,देख लोगे।,SPEAKER_02,0.0,neutral,0.895,{'neutral': 0.895},text,0.0,0.0
13,75.38,77.63799999999999,2.28,"Emo, this way.","इमो, चल इधर!",SPEAKER_02,0.0,disgust,0.671,"{'disgust': 0.671, 'neutral': 0.257}",text,0.134,-0.403
14,81.88,83.26299999999999,1.4,Music,संगीत,SPEAKER_02,0.0,neutral,0.798,"{'neutral': 0.798, 'sad': 0.093}",text,-0.046,-0.065
15,93.4,95.176,1.78,Follow me.,मेरे पीछे आओ।,SPEAKER_01,0.0,neutral,0.935,{'neutral': 0.935},text,0.0,0.0
16,96.4,97.5,1.1,Let me get me.,मुझे जाने दो।,SPEAKER_01,0.0,neutral,0.418,"{'angry': 0.409, 'neutral': 0.418, 'fearful': 0.092}",audio+text,0.392,-0.291
