id,start,end,duration,en_text,hi_text
0,11.54,15.22,3.68,"Hello everyone, welcome back to Tinipoya Actual Speaking.","सभी को नमस्कार, टिनिपोया एक्चुअल स्पीकिंग में आपका फिर से स्वागत है।"
1,15.56,17.1,1.54,"I'm of course, Jennifer Clyde.",मैं निश्चित रूप से जेनिफर क्लाइड हूं।
2,17.4,19.24,1.84,Thank you so much for joining me today.,आज मेरे साथ जुड़ने के लिए आपका बहुत-बहुत धन्यवाद।
3,19.78,25.28,5.5,"Now today's lesson is, of course, lesson 11 and we will be talking about health.","अब आज का पाठ, निस्संदेह, पाठ 11 है और हम स्वास्थ्य के बारे में बात करेंगे।"
4,25.76,28.48,2.72,So how do you take care of your health?,तो आप अपने स्वास्थ्य का ख्याल कैसे रखते हैं?
5,28.48,30.2,1.72,How do you stay healthy?,आप स्वस्थ कैसे रहते हैं?
6,30.6,31.58,0.98,How do you stay fit?,आप फिट कैसे रहते हैं?
7,31.98,35.32,3.34,"There is advice given by most doctors and it is,","अधिकांश डॉक्टरों द्वारा दी गई सलाह यह है,"
8,35.66,41.44,5.78,those who do not find time for exercise will have to find time for illness.,जो लोग व्यायाम के लिए समय नहीं निकाल पाते उन्हें बीमारी के लिए भी समय निकालना पड़ेगा।
9,41.9,42.8,0.9,"Hmm, got it, right?","हम्म, समझ गया, है ना?"
10,43.22,46.74,3.52,"So basically they're saying that exercising is very, very important.",तो मूलतः वे कह रहे हैं कि व्यायाम करना बहुत-बहुत महत्वपूर्ण है।
11,47.16,49.26,2.1,"There's also another old saying, it says,","एक और पुरानी कहावत भी है, वह कहती है,"
12,49.76,54.8,5.04,"After dinner rest a while and after supper, walk a while.",रात के खाने के बाद थोड़ी देर आराम करें और रात के खाने के बाद थोड़ी देर टहलें।
13,55.58,57.54,1.96,Walking is a great way of exercise as well.,पैदल चलना भी व्यायाम का एक बेहतरीन तरीका है।
14,58.1,61.36,3.26,"We of course can do many, many things to improve our health,","निःसंदेह हम अपने स्वास्थ्य को बेहतर बनाने के लिए बहुत कुछ कर सकते हैं,"
15,61.42,65.34,3.92,perhaps by taking baby steps toward better health.,शायद बेहतर स्वास्थ्य की ओर छोटे कदम उठाकर।
16,65.62,70.22,4.6,"You can sleep more, eat healthy foods, you can exercise,","आप अधिक सो सकते हैं, स्वस्थ भोजन खा सकते हैं, व्यायाम कर सकते हैं,"
17,70.92,73.38,2.46,"you can cut out salts, be happy.","आप नमक कम कर सकते हैं, खुश रहें।"
18,73.64,74.02,0.38,What else?,और क्या?
19,74.32,75.8,1.48,"You can check your feet, people say.","लोग कहते हैं, आप अपने पैरों की जांच कर सकते हैं।"
20,76.24,78.24,2.0,"Checking your feet is very, very important.","अपने पैरों की जाँच करना बहुत, बहुत महत्वपूर्ण है।"
21,78.56,82.56,4.0,Maybe do it once a week or twice a week to see how your feet are doing.,"यह देखने के लिए कि आपके पैर कैसा काम कर रहे हैं, शायद इसे सप्ताह में एक या दो बार करें।"
22,83.0,86.16,3.16,"Also, floss daily and cut back the coffee","इसके अलावा, रोजाना फ्लॉस करें और कॉफी पीना कम कर दें"
23,86.16,88.94,2.78,"and most importantly, eat breakfast.","और सबसे महत्वपूर्ण बात, नाश्ता करें।"
24,89.58,93.4,3.82,Now this is something very interesting that I found in a 2004 study,अब यह बहुत दिलचस्प बात है जो मुझे 2004 के एक अध्ययन में मिली
25,93.4,97.36,3.96,"that was published in the journal called Heart and it said,","यह हार्ट नामक पत्रिका में प्रकाशित हुआ था और इसमें कहा गया था,"
26,98.16,99.06,0.9,Build a Network.,एक नेटवर्क बनाएं.
27,99.6,102.94,3.34,"Now you might think, Build a Network, what does that have to do with health?","अब आप सोच सकते हैं, एक नेटवर्क बनाएं, इसका स्वास्थ्य से क्या लेना-देना है?"
28,103.12,106.0,2.88,"But they said, if you survive a heart attack,","लेकिन उन्होंने कहा, यदि आप दिल का दौरा पड़ने से बच जाते हैं,"
29,106.54,109.78,3.24,your half is likely to have a second heart attack within a year,आपके आधे को एक वर्ष के भीतर दूसरी बार दिल का दौरा पड़ने की संभावना है
30,109.78,112.14,2.36,if you have close friends and family.,यदि आपके करीबी दोस्त और परिवार हैं।
31,112.14,115.88,3.74,"That means friends and family are very, very important.",इसका मतलब है कि दोस्त और परिवार बहुत-बहुत महत्वपूर्ण हैं।
32,116.46,118.5,2.04,"Anyhow, we're talking about health today,","बहरहाल, आज हम बात कर रहे हैं स्वास्थ्य की,"
33,118.72,119.98,1.26,so let's begin with our...,तो चलिए शुरू करते हैं हमारे...
