id,start,end,duration,en_text,hi_text,speaker,no_speech_prob,emotion,emotion_score,emotion_dist,emotion_source,arousal,valence
0,11.62,17.07,5.46,"Hello everyone, welcome back to Tiny Poet Actual Speaking. I'm of course Jennifer Clyde.","सभी को नमस्कार, टिनी पोएट एक्चुअल स्पीकिंग में फिर से आपका स्वागत है। मैं हूँ जेनिफर क्लाइड।",SPEAKER_00,0.0,neutral,0.656,"{'neutral': 0.656, 'happy': 0.245, 'surprised': 0.074}",text,0.206,0.203
1,17.24,23.031999999999996,5.8,Thank you so much for joining me today. Now today's lesson is of course lesson 11 and we,"आज मेरे साथ जुड़ने का बहुत-बहुत शुक्रिया। आज का पाठ है पाठ नंबर ग्यारह, और हम",SPEAKER_00,0.0,happy,0.791,"{'happy': 0.791, 'neutral': 0.158}",text,0.475,0.633
2,23.04,25.872,7.18,will be talking about health. So how do you take care of your health? How do you stay healthy?,सेहत के बारे में बात करेंगे। तो आप अपनी सेहत का ख्याल कैसे रखते हैं? तंदुरुस्त कैसे रहते हैं?,SPEAKER_00,0.0,neutral,0.632,"{'neutral': 0.632, 'sad': 0.166, 'fearful': 0.097}",text,-0.015,-0.165
3,30.42,36.132000000000005,7.22,How do you stay fit? There is advice given by most doctors and it is those who do not find time,"फिट कैसे रहते हैं? ज़्यादातर डॉक्टर यही कहते हैं — जो लोग कसरत के लिए वक्त नहीं निकालते,",SPEAKER_00,0.0,neutral,0.869,"{'neutral': 0.869, 'sad': 0.053}",text,-0.026,-0.037
4,37.64,41.624,6.98,"for exercise will have to find time for illness. Got it, right? So basically they're saying that",उन्हें बीमारी के लिए वक्त निकालना पड़ेगा। समझे ना? मतलब वो कह रहे हैं कि,SPEAKER_00,0.0,neutral,0.875,"{'neutral': 0.875, 'sad': 0.056}",text,-0.028,-0.039
5,44.62,47.428,7.0,"exercising is very, very important. There's also another old saying. It says after dinner rest a","कसरत करना बहुत-बहुत ज़रूरी है। एक और पुरानी कहावत है — रात के खाने के बाद थोड़ा आराम करो,",SPEAKER_00,0.0,neutral,0.895,"{'neutral': 0.895, 'disgust': 0.061}",text,0.012,-0.037
6,51.62,58.967999999999996,7.36,while and after supper walk a while. Walking is a great way of exercise as well. We of course can,और रात के हल्के खाने के बाद थोड़ा टहलो। पैदल चलना भी कसरत का बढ़िया तरीका है। हम तो,SPEAKER_00,0.0,happy,0.391,"{'angry': 0.289, 'happy': 0.391, 'neutral': 0.294}",audio+text,0.466,0.139
7,58.98,62.483999999999995,7.1,"do many, many things to improve our health perhaps by taking baby steps toward better health. You can",सेहत सुधारने के लिए बहुत कुछ कर सकते हैं — छोटे-छोटे कदमों से शुरुआत करें। आप,SPEAKER_00,0.0,neutral,0.938,{'neutral': 0.938},text,0.0,0.0
8,66.08,72.776,8.52,"sleep more, eat healthy foods, you can exercise, you can cut out salt, be happy. What else? You can","ज़्यादा सोएं, सेहतमंद खाना खाएं, कसरत करें, नमक कम करें, खुश रहें। और क्या? आप",SPEAKER_00,0.0,neutral,0.66,"{'neutral': 0.66, 'happy': 0.254, 'sad': 0.058}",text,0.123,0.163
9,74.6,77.09599999999999,5.3,"check your feet, people say. Checking your feet is very, very important. Maybe do it once a week or","पैरों की जाँच करें, लोग कहते हैं। पैरों की जाँच बहुत ज़रूरी है। हफ्ते में एक या",SPEAKER_00,0.0,neutral,0.961,{'neutral': 0.961},text,0.0,0.0
10,79.9,83.42800000000001,7.14,twice a week to see how your feet are doing. Also floss daily and cut back the coffee and most,"दो बार देखें कि पैर कैसे हैं। रोज़ फ्लॉस करें, कॉफी कम पिएं, और सबसे",SPEAKER_00,0.0,neutral,0.837,"{'neutral': 0.837, 'surprised': 0.078}",text,0.062,0.008
11,87.04,89.84800000000001,6.56,importantly eat breakfast. Now this is something very interesting that I found in a 2004 study that,"ज़रूरी — नाश्ता ज़रूर करें। अब एक बहुत दिलचस्प बात, जो मुझे 2004 की एक स्टडी में मिली —",SPEAKER_00,0.0,neutral,0.71,"{'neutral': 0.71, 'surprised': 0.257}",text,0.206,0.026
12,93.6,100.29599999999999,7.22,was published in the journal called Heart and it said build a network. Now you might think build a,"'हार्ट' नाम की जर्नल में छपी थी — उसमें कहा गया था: नेटवर्क बनाओ। अब आप सोचेंगे,",SPEAKER_00,0.0,neutral,0.757,"{'neutral': 0.757, 'surprised': 0.21}",text,0.168,0.021
