id,start,end,duration,en_text,hi_text,speaker,no_speech_prob,emotion,emotion_score,emotion_dist,arousal,valence,arc_flagged
0,0.0,1.745,1.76,"Hey, sit still.","अरे, चुप बैठो।",SPEAKER_00,0.0,neutral,0.473,"{'neutral': 0.473, 'disgust': 0.179, 'sad': 0.153, 'angry': 0.134}",0.067,-0.295,False
1,17.48,18.827,1.36,"Good night, Skills.","शुभ रात्रि, स्किल्स।",SPEAKER_00,0.0,neutral,0.937,{'neutral': 0.937},0.0,0.0,False
2,39.88,40.933,1.06,"Get him, Skills.","पकड़ो उसे, स्किल्स।",SPEAKER_01,0.0,neutral,0.937,{'neutral': 0.937},0.0,0.0,False
3,41.06,41.959,0.9,"Come on, get him.","जाओ, पकड़ो।",SPEAKER_01,0.0,angry,0.839,"{'angry': 0.839, 'fearful': 0.071}",0.721,-0.539,False
4,47.44,47.94,0.44,No!,नहीं!,SPEAKER_01,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
5,54.98,55.48,0.44,Skills?,स्किल्स?,SPEAKER_00,0.0,surprised,0.631,"{'surprised': 0.631, 'neutral': 0.304}",0.505,0.063,True
6,65.98,67.38,1.4,No.,नहीं।,SPEAKER_00,0.0,neutral,0.83,"{'neutral': 0.83, 'sad': 0.066, 'disgust': 0.057}",-0.022,-0.08,False
7,72.78,74.179,1.4,No.,नहीं।,SPEAKER_00,0.0,neutral,0.83,"{'neutral': 0.83, 'sad': 0.066, 'disgust': 0.057}",-0.022,-0.08,False
8,76.8,77.56,1.4,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
9,78.52,79.28,0.76,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
10,79.44,80.38,0.94,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
11,90.78,91.719,1.24,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
12,93.92,94.999,1.08,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
13,95.9,96.479,0.58,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
14,96.48,96.98,0.1,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
15,97.18,97.68,0.44,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
16,97.82,98.6,0.78,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
17,102.28,102.78,0.24,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
18,103.18,104.41900000000001,1.24,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
19,106.6,107.83999999999999,1.24,Mom!,माँ!,SPEAKER_00,0.0,surprised,0.601,"{'surprised': 0.601, 'angry': 0.16, 'happy': 0.117, 'neutral': 0.055}",0.679,0.058,True
20,109.72,110.34,0.62,Woo!,वाह!,SPEAKER_00,0.0,surprised,0.652,"{'surprised': 0.652, 'disgust': 0.143, 'sad': 0.097}",0.502,-0.088,True
21,110.34,111.619,1.3,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
22,113.84,114.85900000000001,1.02,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
24,115.64,116.18,0.54,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
25,116.18,117.13900000000001,0.96,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
26,117.58,118.08,0.16,No!,नहीं!,SPEAKER_00,0.0,angry,0.569,"{'angry': 0.569, 'disgust': 0.147, 'surprised': 0.141, 'sad': 0.051}",0.572,-0.451,False
